"LSOA11CD","imdscore","imdrank"
"E01000082",32.139,7276
"E01000083",38.156,5076
"E01000102",38.062,5112
"E01000021",40.821,4273
"E01000022",31.616,7478
"E01000023",38.57,4931
"E01000024",30.92,7790
"E01000025",35.995,5772
"E01000077",36.685,5549
"E01000015",39.139,4765
"E01000016",34.209,6446
"E01000017",40.563,4357
"E01000018",36.396,5631
"E01000079",37.476,5302
"E01000035",26.97,9728
"E01000036",20.949,13503
"E01000107",26.945,9750
"E01000108",27.919,9214
"E01000066",24.222,11307
"E01000067",20.992,13473
"E01000069",15.769,17845
"E01000070",20.935,13517
"E01000071",18.295,15618
"E01000057",40.189,4455
"E01000073",39.507,4652
"E01000074",35.288,6035
"E01000075",38.594,4926
"E01000076",39.049,4787
"E01000013",40.329,4416
"E01000014",38.37,5014
"E01000059",38.277,5047
"E01000084",41.801,3973
"E01000085",38.798,4861
"E01000086",37.942,5157
"E01000103",40.774,4288
"E01000104",37.707,5227
"E01000105",46.864,2811
"E01000106",46.196,2931
"E01000007",42.513,3778
"E01000008",38.339,5028
"E01000010",30.914,7796
"E01000012",36.91,5475
"E01000006",22.568,12345
"E01000009",33.412,6750
"E01000011",30.071,8209
"E01000044",31.07,7728
"E01000068",25.991,10292
"E01000041",34.74,6254
"E01000042",43.898,3446
"E01000045",37.896,5172
"E01000046",31.079,7720
"E01000072",44.336,3339
"E01000054",32.785,7014
"E01000055",32.594,7078
"E01000056",42.396,3808
"E01000058",31.615,7479
"E01000095",35.779,5849
"E01000040",34.713,6266
"E01000043",33.748,6612
"E01000050",35.733,5865
"E01000052",31.593,7488
"E01000092",32.714,7035
"E01000053",42.098,3891
"E01000087",34.381,6382
"E01000088",30.196,8154
"E01000089",29.565,8433
"E01000090",30.667,7920
"E01000048",49.278,2351
"E01000049",41.369,4106
"E01000051",42.699,3733
"E01033587",36.451,5615
"E01033588",38.654,4907
"E01000091",44.111,3389
"E01000093",45.193,3154
"E01000094",31.643,7457
"E01000096",44.221,3362
"E01000019",34.613,6307
"E01000020",32.895,6960
"E01000097",41.082,4195
"E01000098",38.407,4995
"E01000099",32.289,7206
"E01032580",37.045,5427
"E01000248",9.58,24732
"E01000249",6.147,29008
"E01000250",15.589,18051
"E01000254",9.165,25237
"E01000292",13.383,20288
"E01000293",8.281,26389
"E01000167",27.99,9176
"E01000246",10.533,23570
"E01000247",9.848,24409
"E01000251",20.511,13832
"E01000252",16.082,17557
"E01000166",16.228,17440
"E01000168",6.871,28143
"E01000169",13.266,20396
"E01000172",9.43,24913
"E01000285",18.5,15466
"E01000287",27.823,9272
"E01000288",13.546,20116
"E01000289",40.812,4275
"E01000291",35.597,5917
"E01000294",14.564,19073
"E01000267",14.264,19381
"E01000268",20.187,14071
"E01000269",10.598,23496
"E01000270",10.978,23035
"E01000170",21.8,12869
"E01000171",26.321,10104
"E01000173",9.534,24782
"E01000174",18.713,15295
"E01000175",9.566,24745
"E01000228",13.38,20291
"E01000253",10.543,23559
"E01000279",6.608,28473
"E01000280",3.282,31888
"E01000286",26.187,10186
"E01000290",24.45,11173
"E01000271",8.873,25601
"E01000272",6.154,28995
"E01000273",15.816,17811
"E01000281",17.75,16103
"E01000282",8.756,25762
"E01000115",4.896,30400
"E01000116",9.687,24596
"E01000119",12.617,21099
