"MSOA11CD","LSOA11CD"
"E02000152","E01000664"
"E02000152","E01000661"
"E02000152","E01000663"
"E02000153","E01000767"
"E02000153","E01000766"
"E02000153","E01000764"
"E02000153","E01000834"
"E02000153","E01000763"
"E02000154","E01000814"
"E02000154","E01000734"
"E02000154","E01000790"
"E02000154","E01000812"
"E02000154","E01000727"
"E02000155","E01000726"
"E02000155","E01000788"
"E02000155","E01000723"
"E02000155","E01000787"
"E02000155","E01000791"
"E02000156","E01000835"
"E02000156","E01000838"
"E02000156","E01000841"
"E02000156","E01000840"
"E02000156","E01000832"
"E02000156","E01000839"
"E02000156","E01000837"
"E02000156","E01000836"
"E02000157","E01000754"
"E02000157","E01000758"
"E02000157","E01000755"
"E02000157","E01000753"
"E02000157","E01000757"
"E02000158","E01000795"
"E02000158","E01000792"
"E02000158","E01000786"
"E02000158","E01000789"
"E02000158","E01000793"
"E02000159","E01000666"
"E02000159","E01000756"
"E02000159","E01000665"
"E02000159","E01000667"
"E02000160","E01000768"
"E02000160","E01000761"
"E02000160","E01000760"
"E02000160","E01000759"
"E02000160","E01000765"
"E02000161","E01000682"
"E02000161","E01000681"
"E02000161","E01000684"
"E02000161","E01000683"
"E02000161","E01000794"
"E02000162","E01000751"
"E02000162","E01000750"
"E02000162","E01000749"
"E02000162","E01000752"
"E02000163","E01000688"
"E02000163","E01000680"
"E02000163","E01000686"
"E02000163","E01000687"
"E02000163","E01000685"
"E02000165","E01000656"
"E02000165","E01000654"
"E02000165","E01000657"
"E02000165","E01000655"
"E02000165","E01000659"
"E02000166","E01000912"
"E02000166","E01000908"
"E02000166","E01000913"
"E02000166","E01000907"
"E02000166","E01000909"
"E02000167","E01000895"
"E02000167","E01000899"
"E02000167","E01000894"
"E02000167","E01000893"
"E02000167","E01000896"
"E02000168","E01000921"
"E02000168","E01000910"
"E02000168","E01000923"
"E02000168","E01000928"
"E02000168","E01000911"
"E02000169","E01000878"
"E02000169","E01000879"
"E02000169","E01000885"
"E02000169","E01000880"
"E02000169","E01000884"
"E02000170","E01000877"
"E02000170","E01000873"
"E02000170","E01000874"
"E02000170","E01000871"
"E02000170","E01000872"
"E02000171","E01000886"
"E02000171","E01000887"
"E02000171","E01000903"
"E02000171","E01000888"
"E02000171","E01000892"
"E02000172","E01000891"
"E02000172","E01000889"
"E02000172","E01000901"
"E02000172","E01000890"
"E02000172","E01000927"
"E02000172","E01000922"
"E02000173","E01000897"
"E02000173","E01000882"
"E02000173","E01000898"
"E02000173","E01000883"
"E02000173","E01000881"
"E02000174","E01000926"
"E02000174","E01000866"
"E02000174","E01000924"
"E02000174","E01000925"
"E02000174","E01000870"
"E02000175","E01000970"
"E02000175","E01000973"
"E02000175","E01000969"
"E02000175","E01000971"
"E02000175","E01000972"
"E02000176","E01000848"
"E02000176","E01000849"
"E02000176","E01000842"
"E02000176","E01000844"
"E02000177","E01000904"
"E02000177","E01000900"
"E02000177","E01000902"
"E02000177","E01000905"
"E02000177","E01000906"
"E02000178","E01000875"
"E02000178","E01000876"
"E02000178","E01000932"
"E02000178","E01000931"
"E02000178","E01000974"
"E02000179","E01000843"
"E02000179","E01000845"
"E02000179","E01000846"
"E02000179","E01000847"
"E02000180","E01000865"
"E02000180","E01000869"
"E02000180","E01000867"
"E02000180","E01000864"
"E02000180","E01000868"
"E02000181","E01000964"
"E02000181","E01000965"
"E02000181","E01000968"
"E02000181","E01000962"
"E02000181","E01000966"
